text,category
Bachelor of Engineering CGPA Semester Examination,Academic
University marksheet result percentage Academic Year,Academic
SSC HSC board examination marksheet,Academic
Resume skills projects experience python java,Professional
Software Developer Internship resume profile,Professional
Curriculum Vitae work experience technical skills,Professional
Certificate of Achievement Winner Competition,Achievement
Participation Certificate Technical Event,Achievement
Hackathon Completion Certificate,Achievement
Aadhaar Card Government of India,Identity
PAN Card Income Tax Department,Identity
Driving License Government Document,Identity